Chromosome	TADborder	Nut.0h	Nut.1h	Nut.4h	Nut.7h	Nut.10h	Nut.24h	Category_tads	state_tads	Nut.0h_VS_Nut.1h	Nut.1h_VS_Nut.4h	Nut.4h_VS_Nut.7h	Nut.7h_VS_Nut.10h	Nut.10h_VS_Nut.24h	IS_Nut.0h	IS_Nut.1h	IS_Nut.4h	IS_Nut.7h	IS_Nut.10h	IS_Nut.24h	sigmoid_IS_Nut.0h	sigmoid_IS_Nut.1h	sigmoid_IS_Nut.4h	sigmoid_IS_Nut.7h	sigmoid_IS_Nut.10h	sigmoid_IS_Nut.24h
6	129773437	7	10	10	9	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.5983	-0.5268	-0.5854	-0.6273	-0.6694	-0.904	0.35473272321909594	0.37126354596604283	0.35769100255255515	0.3481230064042842	0.33863120385079176	0.28822919025801413
6	130350000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-1.0923	-1.1012	-1.0709	-1.0788	-1.1215	-1.0084	0.2511854208688625	0.2495151180794549	0.25523196673950027	0.25373317268560475	0.24573315496760903	0.2672930900561036
6	130600000	10	9	0	0	0	5	TAD-TAD-NoTAD-NoTAD-NoTAD-TAD	Variable	Maintained	Lost	NoTAD	NoTAD	Gained	-0.3353	-0.2392	NA	NA	NA	-0.1316	0.4169516130926348	0.4404835075647281	NA	NA	NA	0.4671473996310235
6	131170312	10	6	4	10	5	6	TAD-TAD-NoTAD-TAD-TAD-TAD	Variable	Maintained	Lost	Gained	Maintained	Maintained	-0.7923	-0.6412	NA	-0.719	-0.7825	-0.9414	0.31167502829381344	0.34497532815156357	NA	0.32761322774734536	0.3137813291023188	0.28061763587094496
6	131450000	0	0	4	9	5	0	NoTAD-NoTAD-NoTAD-TAD-TAD-NoTAD	Variable	NoTAD	NoTAD	Gained	Maintained	Lost	NA	NA	NA	0.2616	0.232	NA	NA	NA	NA	0.5650295664870741	0.55774124330949	NA
6	131950000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-1.0431	-1.0567	-1.0663	-1.0561	-1.2026	-1.1222	0.26055228986418294	0.25794059387797313	0.25610735843376026	0.25805545490278686	0.2310130139090872	0.24560343420142677
6	132250000	10	0	0	0	0	0	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD	Variable	Lost	NoTAD	NoTAD	NoTAD	NoTAD	0.146	NA	NA	NA	NA	NA	0.5364353017406441	NA	NA	NA	NA	NA
6	132575000	10	0	0	0	8	0	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD	Variable	Lost	NoTAD	NoTAD	Gained	Lost	-0.1882	NA	NA	NA	-0.0207	NA	0.45308838281607494	NA	NA	NA	0.49482518477839493	NA
6	132850000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.2084	-0.2456	-0.3129	-0.2473	-0.2683	-0.1695	0.4480877456668595	0.43890678369186464	0.4224070400533963	0.4384881723168502	0.43332449006281504	0.45772616306124614
6	13300000	8	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.7902	-0.7094	-0.6198	-0.6188	-0.9117	-0.7757	0.312125727152233	0.32973143181025455	0.3498269396701898	0.35005442186488145	0.28665209066846514	0.3152473736111543
6	133150000	10	10	10	10	10	0	TAD-TAD-TAD-TAD-TAD-NoTAD	Variable	Maintained	Maintained	Maintained	Maintained	Lost	-0.6733	-0.6777	-0.6129	-0.5279	-0.6381	NA	0.33775830986745004	0.33677483193354	0.35139795287029757	0.37100681273000613	0.345676163183613	NA
6	133900000	10	10	10	10	10	0	TAD-TAD-TAD-TAD-TAD-NoTAD	Variable	Maintained	Maintained	Maintained	Maintained	Lost	-0.3063	-0.1725	-0.1261	-0.1491	-0.1971	NA	0.4240181228574213	0.4569816192756902	0.4685167074850782	0.46279390128447884	0.45088390399534367	NA
6	134200000	10	10	10	10	10	0	TAD-TAD-TAD-TAD-TAD-NoTAD	Variable	Maintained	Maintained	Maintained	Maintained	Lost	-0.5282	-0.4532	-0.3313	-0.4997	-0.4963	NA	0.37093680721231026	0.3886002073005124	0.4179243467932441	0.37761117250142806	0.37841057569527503	NA
6	134450000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-1.4753	-1.277	-1.2678	-1.3868	-1.6104	-1.4073	0.18613837635783945	0.21806132264441097	0.21963408840370768	0.19991911005123686	0.16653308624261703	0.19666026654984875
6	135300000	10	10	10	10	10	9	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.6768	-0.7387	-0.7113	-0.6644	-0.8262	-0.6644	0.3369758832449985	0.3232884833533776	0.32931165137192087	0.3397519063061731	0.30444915919641163	0.3397519063061731
6	135750000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.7362	-0.6666	-0.6032	-0.5439	-0.6979	-0.5616	0.32383565739799053	0.33925857522032676	0.35361192590631996	0.3672808101586742	0.33227798919885215	0.36317733147849496
