ensembl_gene_id	HCT116_Nut0h_1	HCT116_Nut0h_2	HCT116_Nut10h_1	HCT116_Nut10h_2	HCT116_Nut1h_1	HCT116_Nut1h_2
ENSG00000011485	7146	6252	4941	4746	4659	3936
ENSG00000011523	927	882	1183	1131	742	568
ENSG00000011566	844	832	765	924	1249	969
ENSG00000011590	5	4	7	0	4	4
ENSG00000011600	2	0	0	1	0	0
ENSG00000011638	477	462	489	610	481	406
ENSG00000011677	0	0	0	5	0	1
ENSG00000012048	1980	2163	634	705	3101	2372
ENSG00000012061	3940	3615	5018	4195	1944	1589
ENSG00000012124	220	217	287	267	159	129
ENSG00000012171	579	616	1609	1460	251	205
ENSG00000012174	853	970	813	1040	1332	1019
ENSG00000012211	1925	1829	2779	2656	584	495
ENSG00000012223	0	0	0	0	0	0
ENSG00000012232	4477	4557	5047	5162	3339	2648
ENSG00000012504	0	0	0	0	0	0
ENSG00000012660	2380	2864	1984	2454	4667	3629
ENSG00000012779	46	32	280	295	26	22
ENSG00000012817	0	0	0	14	0	0
ENSG00000012822	819	873	1785	1838	502	459
ENSG00000012963	1811	1914	729	851	2139	1824
ENSG00000012983	1072	1194	1131	1344	1829	1379
ENSG00000013016	0	0	0	11	0	0
ENSG00000013275	7344	7100	6829	6410	5543	4839
ENSG00000013288	2478	2475	2610	2537	1538	1365
ENSG00000013293	3	0	1	0	0	0
ENSG00000013297	2	0	0	3	2	0
ENSG00000013306	21711	19273	18673	16671	8801	7693
ENSG00000013364	4579	4315	6720	6172	2352	2259
ENSG00000013374	1642	1558	1583	1688	1775	1402
ENSG00000013375	1019	1119	922	1153	1779	1372
ENSG00000013392	158	215	226	255	205	175
ENSG00000013441	566	627	487	651	1308	946
ENSG00000013503	598	615	592	651	734	643
ENSG00000013523	1433	1358	1560	1685	1042	774
ENSG00000013561	1084	1149	1262	1508	1331	1150
ENSG00000013563	351	295	377	313	117	97
ENSG00000013573	4379	4564	1974	2007	3289	2831
ENSG00000013583	960	994	862	868	700	560
ENSG00000013588	11814	12913	17762	20034	14957	11923
ENSG00000013619	649	623	425	367	364	318
ENSG00000013725	2	0	0	0	0	0
ENSG00000013810	8901	7862	2841	2516	4470	3920
ENSG00000014123	1005	1049	1032	1309	2224	1634
